time, A, V, D
1241248,0.34848,-155.64948,-364145.9
1241264,0.29356802,-150.51309,-366595.22
1241279,0.2326208,-146.56668,-368823.3
1241298,0.15205248,-142.91228,-371573.38
1241314,0.0,-141.69586,-373850.25
1241331,0.0,-141.69586,-376259.1
1241348,0.0,-141.69586,-378667.94
1241365,-0.11952001,-142.71178,-381085.4
1241380,-0.21923202,-145.25241,-383245.12
1241397,-0.26305923,-149.35188,-385749.25
1241414,-0.31335557,-154.2514,-388329.88
1241431,-0.32753333,-159.69896,-390998.44
1241448,-0.32404003,-165.23734,-393760.4
1241464,-0.309944,-170.3092,-396444.78
1241481,-0.2734864,-175.26836,-399382.2
1241498,-0.20361185,-179.32368,-402396.22
1241515,0.0,-181.05438,-405459.44
1241531,0.0,-181.05438,-408356.3
1241546,0.13248001,-180.06078,-411064.7
1241565,0.23596801,-176.56052,-414452.6
1241581,0.2820608,-172.41629,-417244.4
1241597,0.27771646,-167.93808,-419967.25
1241615,0.2511099,-163.17865,-422947.3
1241629,0.20314594,-159.99886,-425209.56
1241646,0.12636755,-157.198,-427905.75
1241665,0.0,-155.99751,-430881.1
1241678,-0.17000002,-155.99751,-432753.06
1241698,-0.19752002,-159.67271,-436067.6
1241713,-0.234032,-162.90935,-438486.97
1241732,-0.27593923,-167.75407,-441628.28
1241749,-0.31308353,-172.76077,-444522.66
1241766,-0.33137015,-178.23863,-447506.16
1241781,-0.3303421,-183.20148,-450216.97
1241798,-0.31372526,-188.67606,-453377.94
1241813,-0.30375516,-193.30716,-456242.8
1241831,-0.2697731,-198.46892,-459768.8
1241847,-0.22138385,-202.39818,-462975.75
1241864,-0.15635033,-205.60892,-466443.8
1241880,0.0,-206.85973,-469743.56
1241898,0.0,-206.85973,-473467.03
1241914,0.10447999,-206.02388,-476770.1
1241930,0.19516802,-203.6267,-480047.3
1241947,0.25758082,-199.77834,-483476.25
1241964,0.26702848,-195.31915,-486834.6
1241979,0.2446971,-191.48122,-489735.6
1241998,0.19529827,-187.30125,-493334.03
1242014,0.12965895,-184.7016,-496310.06
1242031,0.0,-183.5995,-499440.62
1242048,0.0,-183.5995,-502561.8
1242065,0.0,-183.5995,-505683.0
1242082,-0.12352001,-184.64943,-508813.12
1242097,-0.205632,-187.11807,-511601.38
1242116,-0.33999997,-191.10059,-514816.22
1242130,-0.33951998,-195.85722,-517911.88
1242148,-0.339232,-201.96599,-521492.28
1242164,-0.33505923,-207.36032,-524766.9
1242181,-0.32055557,-212.93304,-528339.4
1242198,-0.29585335,-218.17252,-532003.75
1242213,-0.25303203,-222.28915,-535307.2
1242232,-0.17133924,-226.32068,-539569.0
1242247,0.0,-227.60573,-542973.44
1242264,0.0,-227.60573,-546842.75
1242281,0.10447999,-226.71765,-550704.5
1242297,0.21116799,-224.19247,-554311.75
1242314,0.27518082,-220.0585,-558087.9
1242331,0.2775885,-215.35997,-561788.94
1242346,0.2550331,-211.36531,-564989.4
1242363,0.21749985,-207.34879,-568548.44
1242381,0.15097989,-204.03247,-572250.9
1242398,0.0,-202.74915,-575708.5
1242415,0.0,-202.74915,-579155.25
1242432,-0.10352,-203.62906,-582609.44
1242449,-0.193632,-206.15485,-586092.6
1242466,-0.2476992,-209.90616,-589629.1
1242481,-0.3121395,-214.10495,-592809.2
1242498,-0.34280372,-219.67197,-596496.3
1242515,-0.3452022,-225.52002,-600280.44
1242532,-0.31,-230.95877,-603932.25
1242549,-0.30152,-236.1567,-608136.3
1242565,-0.19999999,-240.43134,-611710.75
1242581,-0.16752,-243.37149,-615823.06
1242598,0.029999971,-244.71165,-619727.75
1242615,0.0,-244.45665,-624130.25
1242632,0.116479985,-243.46657,-628277.6
1242649,0.38,-240.81978,-632151.94
1242665,0.40448004,-234.54395,-636192.5
1242681,0.399168,-228.11476,-639893.75
1242698,0.26999998,-222.51114,-643273.44
1242715,0.21847999,-218.35905,-647461.7
1242731,0.15556802,-215.36667,-650931.5
1242749,-0.00999999,-214.04434,-654581.5
1242765,0.0,-214.12434,-658220.94
1242782,-0.17000002,-214.12434,-661432.8
1242799,-0.21352,-217.38426,-665532.1
1242814,-0.251632,-220.87291,-668819.06
1242831,-0.3064992,-225.61702,-672614.25
1242848,-0.41000003,-230.84837,-676266.0
1242864,-0.42552,-237.53253,-680247.25
1242881,-0.418832,-244.70952,-684346.3
1242897,-0.40281922,-251.28273,-688314.25
1242915,-0.38521156,-258.375,-692901.2
1242932,-0.26,-264.22986,-697082.0
1242947,-0.19,-267.6985,-701071.44
1242965,-0.13352,-270.61017,-706185.4
1242982,0.0,-271.7451,-710795.4
1242999,0.32000005,-270.78125,-715135.56
